,Feature,Non_Zero_Coefficient
637,00573200055904,0.0
638,00573300032992,0.0
639,00573400034424,0.0
608,00562300022967,-0.0
609,00562400024399,-0.0
610,00562600027263,0.0
611,00562800044447,-0.0
612,00562900028695,-0.0
613,00563000030127,-0.0
614,00563100031559,-0.0
616,00563300032991,0.0
617,00563600048743,-0.0
618,00563700035855,0.0
619,00563900050175,-0.0
651,00581900045881,-0.0
652,00582000041585,-0.0
653,00582100021537,-0.0
654,00582400024401,-0.0
655,00582500025833,-0.0
624,00571000011512,0.0
625,00571200012944,0.0
626,00571300014376,0.0
627,00571900045880,0.0
628,00572000041584,0.0
629,00572100021536,0.0
630,00572200051608,-0.0
631,00572300022968,-0.0
632,00572500025832,0.0
633,00572600027264,0.0
634,00572800044448,-0.0
667,00600400004355,-0.0
668,00600500005787,-0.0
669,00600600007219,-0.0
670,00600700054475,0.0
671,00600800038723,0.0
