id,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00670100000066,0.8144476884210974,1.6547933373295223,1.7662533201457506,5.110973856668082,1.4037216743411278,2.342178128868426,2.989877834383691,2.4908667742344903,2.381835002663422,2.484604103540434,2.214717099243174,4.231890288524582,3.137944540940566,3.4987837314176033,2.4222876820666244,3.5034404675176916,1.9200699216050765,3.3029264943887284,4.501130233282154,1.8302892618500977,4.059512312111309,3.0795630440817234,2.1429909093282618,1.9982071329589246,4.096551682826302,2.2500129898431993,3.1395114769077566,1.9288078080418387,3.9597115991334846,2.941507641331981,2.5097194796003492
00680104000067,1713693525333.0107,1742051611612.4688,1772820656041.2266,1863429056297.1052,1889586413846.318,1933843893557.4958,1991663463482.554,2041273146949.0088,2089892905263.0095,2141818470146.7747,2189253690039.8638,2281900504339.8267,2353505276645.4536,2435849336382.78,2494852614811.6816,2582258290923.9175,2631839455666.1006,2718767178337.0723,2841142429773.7544,2893143554579.77,3010591073384.99,3103304123489.3774,3169807648744.564,3233146971282.8555,3365594507943.191,3441320821557.362,3549361483707.3716,3617821845140.749,3761077156378.7725,3871709528330.046,3968878576556.088
00690105000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00700105000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00710104000070,991538315984.0908,1088061034433.8438,1205012549707.2046,1277331642125.4224,1242888787388.2798,1202854312204.7646,1135251534699.5442,1132705887120.766,1118088820134.3403,1146878418473.0012,1282587756845.327,1462815994382.7063,1523955927026.304,1638022735888.1106,1950516224272.554,2245874788975.1094,2198087629410.8074,2543534569851.023,2934538761898.9004,3028808867998.6934,3217293118888.0327,3293539145509.693,3169807648744.563,3180424391176.4565,3358708842003.5737,3424060051945.1865,3526972141695.193,3716790826577.267,4171673410127.9795,4326676025030.8945,4356291922466.7275
00720105000071,1515.9857915635332,1604.6591613254734,1687.6149978057567,1773.843567765265,1800.9682680179137,1816.848532887919,1840.5096683301597,1853.4964484792067,1891.1595926586608,1926.0565779147814,1963.424493711493,2063.9507382025254,2144.532621237989,2249.1541169740294,2328.7092689504684,2423.734582478289,2495.6188366668084,2602.3496045516713,2759.104158223804,2853.1275517230983,3022.6973693549335,3178.8391664184696,3497.5560443126797,3391.4565385575065,3563.2639150811847,3686.8571524305244,3820.8953315923154,3875.4147130756055,3953.405206874417,4046.4401153855742,4011.96285669172
00730105000072,67522.6001899917,77183.30033116814,83098.2003978345,89164.59998060002,102876.10121963183,101788.2743056366,108629.61824587313,118257.21100000004,110860.83500009545,117506.67299999997,124203.19899999998,139032.94,141483.603,148937.60400000002,158205.94599999985,158487.87400000004,175509.343654396,182498.62707796987,183532.23005902267,175567.3422488429,176421.55781354744,185517.10946141926,188363.4163123445,195588.2750940342,213628.64717206245,222156.7007793349,219524.4478450051,182526.18487654746,219227.32846961028,,
00740105000073,1142265216.0,1233233404.0,1302891640.1,1390963704.0,1455104192.0,1466961780.0,1562256300.0,1674064712.0,1655230214.0,1627404873.0,1665309283.0,1888695284.0,1969590799.0,2072413898.0,2209136496.0,2208218737.0,2249728546.0,2669414339.209941,2833214050.182069,2943247912.5648885,3100200780.172673,3285080769.4758954,3525115153.0,3760774350.0,4025616011.770312,4293921426.1293063,4455690101.028276,1771894087.0244997,2279974770.1229997,,
00750105000074,15986200.0,17218900.0,18008200.0,18953600.0,19546600.0,19653200.0,20736600.000976562,22008658.0,22264220.0,20817389.0,21282617.0,23752616.0,24215712.0,24829383.0,26016011.0,25498093.0,26122523.0,30222074.54052834,31203707.095181733,31434525.586079344,32160518.88217208,33026724.979076922,34030586.0,35337714.0,36299460.058,37405640.248385906,38082933.01012836,20098778.563400008,24054588.846,,
00760100000075,8.596767018985267,8.718204025024447,8.86255769130338,8.941589679122787,8.814975086737931,8.939041357937496,9.041371504708403,9.051321315314693,9.055738192033322,9.009325182272747,8.697014644112514,8.70272783553262,8.628643215869742,8.563774014029619,8.265278234672017,8.326465255519421,8.415198435379926,8.258011322982792,7.938524972471915,7.745533184122677,7.913614123378819,8.134738484269688,13.354082784059226,,,,,,,,
